"Dataset Annotation 
************************************************************
The dataset is part of a methodology proposed to automate the mix design process for 3D concrete printing applications. The dataset is used to train neural networks. Because the flow test was quite sensitive, even with small adjustments in the dosages of the materials, more data were added for the training of the corresponding network to augment the dataset. The fluctuations in the amount of water, sand and superplasticizer can extremely affect the measurement. Apart from the data collected from the 18 formed mixes, the extra data that were added were the same combinations of materials, but with the absence of water, sand, or superplasticizer. Additionally, the data from a previous study are added to improve the accuracy of the predictions.

The author of this excel file is Vasileios Sergis (vasileios.sergis.1@ens.etsmtl.ca) and the data were collected as part of the Ph.D. at Ecole de technologie superieure, Universite du Quebec, directed by Professor Claudiane Ouellet-Plamondon (Claudiane.Ouellet-Plamondon@etsmtl.ca). The funding organizations acknowledged are Fonds de recherche du Quebec – Nature et Technologies and the Canada Research Chair Program. 

This dataset was collected for the article: Sergis, V. and C.M. Ouellet-Plamondon, Automating mix design for 3D printing applications using optimization methods. Digital Discovery 2022 
Cite the article when using this dataset. 
************************************************************",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cement,Sand  ,WB,SB,Superplasticizer,,Admixtures,,,,,Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"PCE-1, PCE-2, SNP",0.26-0.45,0.004,0.3,0.5,0.7,,Flow,Compressive strength,Shear stress in time (kPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU-HE-GUbSF,Fine-Coarse-Recycled,wb_0_32-0_345-0_37,sb_1_8-2-2_3,,,B,CSH-C,ex1,FP20,Mixes,Flow 5 min,Strength 28D,SS 90 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.32,1.8,1,0.26,0,0,0,0,M1,95,81.29,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.345,2,3,0.45,0.009,0,0,0,M2,65,66.66,20.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
