GU_HE_GUbSF,Fine_Coarse_Recycled,wb_0_32__0_345__0_37,sb_1_8__2__2_3,PCE_1__PCE_2__SNP,SP_d,B,CSH_C,ex1,ex2,Flow_5m,SS_90m,Strength_28D
1,2,0.32,1.8,1,0.26,0,0,0,0,95,11.97,81.29
1,2,0.345,2,3,0.45,0.009,0,0,0,65,20.64,66.66
1,1,0.32,2.3,3,0.45,0,0.3,0,0,0,,
2,1,0.345,2,2,0.26,0,0.3,0,0,80,19.55,82.99
2,1,0.37,2.3,1,0.26,0,0,0,0,0,,
2,3,0.345,1.8,1,0.26,0.009,0,0,0,88,12.52,81.05
3,2,0.37,2,2,0.26,0,0,0,0,152,6.56,92.27
3,3,0.32,1.8,2,0.26,0,0.3,0,0,152,7.63,102.22
3,3,0.37,2.3,3,0.45,0.009,0,0,0,73,14.86,70.64
1,1,0.37,1.8,2,0.26,0.009,0,0,0,123,9.26,76.86
1,3,0.345,2.3,2,0.26,0,0,0,0,90,9.31,78.88
1,3,0.37,2,1,0.26,0,0.3,0,0,111,11.24,78.12
2,2,0.32,2.3,2,0.26,0.009,0,0,0,55.5,21.12,80.7
2,2,0.37,1.8,3,0.45,0,0.3,0,0,62.5,19.13,66.55
2,3,0.32,2,3,0.45,0,0,0,0,0,,
3,2,0.345,2.3,1,0.26,0,0.3,0,0,70,15.01,90.72
3,1,0.32,2,1,0.26,0.009,0,0,0,21,,
3,1,0.345,1.8,3,0.45,0,0,0,0,63,16.79,69.78
3,3,0.303,2.226,2,0.25,0,0.234,0,0,68,14.11,89.63
2,3,0.25,1.868,2,0.28,0.009,0.3,0,0,0,,
2,2,0.291,2.053,2,0.28,0.009,0.251,0,0,12,,
2,3,0.3,1.7,2,0.28,0.006,0.4,0,0,76,16.53,85.64
3,2,0.314,2.127,2,0.28,0,0.019,0,0,58,15.2,91.93
2,2,0.348,2.148,2,0.28,0,0.381,0,0,70,15.12,77.31
3,2,0.3,1.804,2,0.26,0.018,0,0,0,67,17.57,95.9
2,2,0.314,2.127,2,0.28,0.006,0.019,0,0,42,20.66,76.95
1,2,0.3,1.711,1,0.28,0.003,0.331,0,0,16,,
1,2,0.333,1.754,1,0.28,0,0.4,0,0,70,15.58,75.22
2,1,0.3,1.72,1,0.22,0,0.145,0,0,0,,
1,1,0.333,1.754,1,0.25,0,0.4,0,0,60,17.09,73.53
3,1,0.333,1.754,1,0.25,0,0.178,0,0,96,14.02,93.42
3,3,0.3,1.7,1,0.28,0.013,0.4,0,0,80,16.83,94.24
3,3,0.3,1.941,2,0.28,0.013,0.4,0,0,87,13.83,94.1
2,2,0.3,1.755,2,0.28,0.013,0.106,0,0,62,23.22,81.21
2,3,0.3,1.941,2,0.28,0.013,0.038,0,0,68,20.05,81.07
3,3,0.3,1.7,1,0.26,0.008,0,0,0,82,15.08,86.43
2,3,0.3,1.7,2,0.28,0.008,0.4,0,0,69,18.78,85.42
3,2,0.314,2.127,1,0.28,0,0.019,0,0,37,9.78,85.71
2,3,0.3,1.7,2,0.28,0.013,0.106,0,0,91,19.58,88.54
1,1,0.37,2,1,0.26,0,0.3,0,0,64,,67.39
3,1,0.345,1.8,1,0.26,0,0,0,0,106,,
3,1,0.345,1.8,1,0.26,0.004,0,0,0,96,,
3,1,0.345,1.8,1,0.26,0,0,0.5,0,97,,
3,1,0.345,1.8,1,0.26,0.004,0,0.5,0,85,,
3,1,0.345,1.8,1,0.26,0,0,0,0.7,115.5,,
3,1,0.345,1.8,1,0.26,0.004,0,0,0.7,110,,
3,1,0.345,1.8,1,0.26,0,0,0.5,0.7,107,,
3,1,0.345,1.8,1,0.26,0.004,0,0.5,0.7,97,,
3,1,0.345,1.8,1,0.26,0,0.3,0,0,95,,
3,1,0.345,1.8,1,0.26,0.004,0.3,0,0,92.5,,
3,1,0.345,1.8,1,0.26,0,0.3,0.5,0,92,,
3,1,0.345,1.8,1,0.26,0.004,0.3,0.5,0,84.5,,
3,1,0.345,1.8,1,0.26,0,0.3,0,0.7,95.5,,
3,1,0.345,1.8,1,0.26,0.004,0.3,0,0.7,92,,
3,1,0.345,1.8,1,0.26,0,0.3,0.5,0.7,95.3,,
3,1,0.345,1.8,1,0.26,0.004,0.3,0.5,0.7,75.5,,
1,2,0,1.8,1,0.26,0,0,0,0,0,,
1,2,0,2,3,0.45,0.009,0,0,0,0,,
1,1,0,2.3,3,0.45,0,0.3,0,0,0,,
2,1,0,2,2,0.26,0,0.3,0,0,0,,
2,1,0,2.3,1,0.26,0,0,0,0,0,,
2,3,0,1.8,1,0.26,0.009,0,0,0,0,,
3,2,0,2,2,0.26,0,0,0,0,0,,
3,3,0,1.8,2,0.26,0,0.3,0,0,0,,
